"filia";"for_what";"limit";"fact";"deviation";"date"
"ФК \МТМ\ Заводського району";"виробництво тепла";4752;4819.6;1.42255892255894;"2021-12-01"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-01"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-01"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5985;6183.6;3.31829573934841;"2021-12-01"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-01"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-01"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";6967;7263;4.24860054542844;"2021-12-01"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-01"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-01"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11872;12247.7;3.16458894878704;"2021-12-01"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-01"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-01"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7212;7451;3.31392124237382;"2021-12-01"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-01"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-01"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5098;5207.99999999993;2.15770890545184;"2021-12-01"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-01"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-01"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";8305;8345.6;0.488862131246215;"2021-12-02"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43225;43297;0.166570271833422;"2021-12-02"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-02"
"ФК \МТМ\ Заводського району";"виробництво тепла";4752;4981.6;4.83164983164983;"2021-12-02"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-02"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-02"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5985;6097.00000000001;1.87134502923989;"2021-12-02"
